Texas Education Agency,,,,,,,,,,,,,,
2021-22 STAAR Performance (All Students),,,,,,,,,,,,,,
FLORESVILLE ISD (247901) - WILSON COUNTY,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,State,Region 20,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed","Econ
Disadv",EB/EL
"STAAR Performance Rates by Tested Grade, Subject, and Performance Level",,,,,,,,,,,,,,
Grade 3 Reading,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2022,76%,73%,75%,*,72%,79%,-,-,-,*,50%,69%,57%
,2021,67%,64%,58%,*,51%,68%,*,*,-,71%,16%,49%,27%
At Meets Grade Level or Above,2022,50%,48%,49%,*,46%,52%,-,-,-,*,25%,38%,26%
,2021,38%,36%,33%,*,28%,44%,*,*,-,43%,8%,26%,14%
At Masters Grade Level,2022,29%,28%,28%,*,24%,32%,-,-,-,*,13%,18%,13%
,2021,19%,17%,11%,*,10%,13%,*,*,-,29%,0%,7%,0%
Grade 3 Mathematics,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2022,70%,66%,63%,*,58%,73%,-,-,-,*,38%,52%,65%
,2021,61%,55%,56%,*,49%,66%,*,*,-,71%,15%,49%,45%
At Meets Grade Level or Above,2022,42%,38%,30%,*,28%,35%,-,-,-,*,22%,21%,22%
,2021,30%,26%,26%,*,17%,40%,*,*,-,43%,4%,23%,18%
At Masters Grade Level,2022,20%,17%,9%,*,7%,12%,-,-,-,*,6%,6%,9%
,2021,14%,12%,13%,*,10%,18%,*,*,-,29%,0%,9%,5%
Grade 4 Reading,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2022,76%,74%,70%,80%,69%,71%,*,*,-,60%,37%,64%,35%
,2021,62%,59%,53%,40%,47%,66%,-,*,-,67%,33%,45%,33%
At Meets Grade Level or Above,2022,53%,51%,47%,60%,41%,58%,*,*,-,40%,17%,38%,17%
,2021,36%,33%,29%,40%,22%,41%,-,*,-,50%,17%,23%,13%
At Masters Grade Level,2022,28%,25%,19%,20%,15%,28%,*,*,-,20%,7%,14%,4%
,2021,17%,15%,12%,0%,8%,23%,-,*,-,17%,4%,7%,13%
Grade 4 Mathematics,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2022,68%,64%,64%,60%,57%,81%,*,*,-,40%,33%,58%,57%
,2021,58%,51%,52%,40%,46%,62%,-,*,-,67%,32%,41%,47%
At Meets Grade Level or Above,2022,42%,37%,32%,20%,27%,42%,*,*,-,40%,10%,27%,22%
,2021,35%,29%,30%,20%,23%,48%,-,*,-,33%,16%,21%,27%
At Masters Grade Level,2022,22%,19%,16%,20%,12%,26%,*,*,-,20%,3%,11%,9%
,2021,21%,16%,17%,0%,13%,26%,-,*,-,17%,4%,11%,13%
Grade 5 Reading,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2022,80%,78%,75%,75%,68%,87%,-,*,-,100%,52%,64%,40%
,2021,72%,69%,66%,40%,63%,73%,-,*,-,71%,23%,58%,64%
At Meets Grade Level or Above,2022,57%,54%,52%,50%,45%,65%,-,*,-,78%,24%,42%,20%
,2021,45%,42%,41%,20%,36%,51%,-,*,-,43%,7%,31%,29%
At Masters Grade Level,2022,36%,33%,32%,25%,26%,42%,-,*,-,67%,7%,26%,7%
,2021,29%,27%,25%,0%,21%,34%,-,*,-,14%,0%,16%,7%
Grade 5 Mathematics,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2022,76%,73%,76%,50%,72%,83%,-,*,-,100%,55%,68%,60%
,2021,69%,64%,72%,20%,70%,79%,-,*,-,57%,53%,61%,75%
At Meets Grade Level or Above,2022,47%,43%,44%,25%,37%,58%,-,*,-,67%,28%,35%,27%
,2021,43%,38%,41%,20%,37%,48%,-,*,-,43%,20%,32%,25%
At Masters Grade Level,2022,24%,22%,23%,13%,18%,32%,-,*,-,44%,7%,15%,13%
,2021,24%,20%,21%,20%,17%,27%,-,*,-,14%,0%,16%,7%
Grade 5 Science,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2022,65%,62%,66%,63%,60%,79%,-,*,-,78%,48%,59%,50%
