Texas Education Agency,,,,,,,,,,,,,,
2020-21 STAAR Performance (All Students),,,,,,,,,,,,,,
FLORESVILLE ISD (247901) - WILSON COUNTY,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,State,Region 20,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed","Econ
Disadv",EB/EL
,2019,89%,87%,93%,*,92%,94%,*,*,-,*,90%,88%,95%
At Meets Grade Level or Above,2021,43%,38%,41%,20%,37%,48%,-,*,-,43%,20%,32%,25%
,2019,57%,54%,66%,*,61%,74%,*,*,-,*,48%,54%,71%
At Masters Grade Level,2021,24%,20%,21%,20%,17%,27%,-,*,-,14%,0%,16%,7%
,2019,36%,33%,39%,*,34%,48%,*,*,-,*,6%,29%,38%
Grade 5 Science,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,61%,56%,58%,20%,55%,65%,-,*,-,57%,33%,49%,29%
,2019,74%,70%,76%,*,69%,88%,*,*,-,*,48%,65%,76%
At Meets Grade Level or Above,2021,30%,26%,29%,0%,25%,40%,-,*,-,14%,10%,19%,7%
,2019,48%,43%,54%,*,45%,69%,*,*,-,*,29%,42%,29%
At Masters Grade Level,2021,12%,9%,10%,0%,8%,15%,-,*,-,0%,0%,6%,0%
,2019,23%,20%,24%,*,16%,37%,*,*,-,*,6%,17%,14%
Grade 6 Reading,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,62%,59%,53%,43%,51%,58%,*,*,*,*,25%,38%,22%
,2019,67%,65%,67%,*,64%,76%,-,*,*,38%,19%,57%,48%
At Meets Grade Level or Above,2021,32%,29%,23%,14%,23%,25%,*,*,*,*,17%,14%,6%
,2019,36%,35%,32%,*,26%,48%,-,*,*,13%,15%,19%,13%
At Masters Grade Level,2021,14%,13%,7%,0%,5%,10%,*,*,*,*,0%,3%,6%
,2019,17%,16%,11%,*,9%,16%,-,*,*,13%,4%,5%,0%
Grade 6 Mathematics,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,67%,61%,57%,43%,49%,72%,*,*,*,*,43%,42%,44%
,2019,80%,78%,81%,*,79%,87%,-,*,*,63%,50%,78%,91%
At Meets Grade Level or Above,2021,35%,29%,23%,14%,20%,30%,*,*,*,*,14%,13%,17%
,2019,46%,43%,37%,*,30%,56%,-,*,*,38%,15%,25%,13%
At Masters Grade Level,2021,15%,11%,4%,0%,4%,6%,*,*,*,*,0%,2%,6%
,2019,20%,18%,9%,*,7%,13%,-,*,*,0%,4%,5%,9%
Grade 7 Reading,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,69%,66%,64%,*,56%,77%,*,*,*,80%,38%,57%,48%
,2019,74%,73%,76%,*,70%,91%,*,*,*,*,36%,66%,50%
At Meets Grade Level or Above,2021,44%,42%,41%,*,34%,54%,*,*,*,60%,22%,31%,22%
,2019,48%,46%,45%,*,40%,59%,*,*,*,*,22%,36%,23%
At Masters Grade Level,2021,25%,23%,21%,*,18%,27%,*,*,*,40%,0%,18%,9%
,2019,29%,26%,26%,*,24%,33%,*,*,*,*,3%,21%,9%
Grade 7 Mathematics,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,55%,48%,59%,*,53%,71%,*,*,*,80%,28%,50%,52%
,2019,73%,70%,81%,*,76%,92%,*,*,*,*,56%,75%,68%
At Meets Grade Level or Above,2021,26%,22%,28%,*,24%,36%,*,*,*,60%,16%,21%,13%
,2019,41%,38%,46%,*,42%,55%,*,*,*,*,25%,38%,14%
At Masters Grade Level,2021,11%,9%,11%,*,9%,13%,*,*,*,40%,9%,8%,4%
,2019,16%,14%,18%,*,18%,15%,*,*,*,*,6%,15%,5%
Grade 7 Writing,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,62%,57%,53%,*,47%,67%,*,-,*,80%,25%,43%,29%
,2019,69%,66%,65%,*,62%,72%,*,*,*,*,28%,60%,45%
At Meets Grade Level or Above,2021,32%,28%,24%,*,17%,40%,*,-,*,40%,13%,13%,8%
,2019,41%,37%,35%,*,31%,45%,*,*,*,*,14%,29%,5%
At Masters Grade Level,2021,9%,7%,6%,*,4%,7%,*,-,*,40%,3%,4%,0%
,2019,17%,15%,13%,*,13%,14%,*,*,*,*,3%,11%,0%
Grade 8 Reading+,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,73%,70%,66%,*,64%,72%,-,*,*,50%,25%,49%,52%
,2019,84%,84%,90%,60%,88%,95%,*,*,-,*,56%,85%,50%
At Meets Grade Level or Above,2021,45%,43%,34%,*,29%,46%,-,*,*,50%,17%,20%,22%
,2019,53%,52%,55%,20%,50%,65%,*,*,-,*,22%,45%,0%
At Masters Grade Level,2021,21%,19%,15%,*,12%,23%,-,*,*,50%,4%,7%,9%
,2019,27%,26%,27%,0%,23%,37%,*,*,-,*,11%,15%,0%
Grade 8 Mathematics+,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,61%,54%,62%,*,60%,72%,-,*,*,*,46%,51%,70%
,2019,87%,86%,93%,80%,92%,95%,*,*,-,*,63%,92%,100%
At Meets Grade Level or Above,2021,36%,29%,30%,*,27%,40%,-,*,*,*,25%,22%,35%
,2019,55%,52%,56%,20%,51%,68%,*,*,-,*,21%,49%,50%
At Masters Grade Level,2021,10%,7%,4%,*,2%,11%,-,*,*,*,0%,2%,4%
,2019,17%,13%,12%,0%,13%,13%,*,*,-,*,0%,11%,0%
Grade 8 Science,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,67%,64%,61%,*,55%,76%,-,*,*,*,28%,47%,46%
,2019,79%,78%,81%,60%,77%,89%,*,*,-,*,47%,72%,38%
At Meets Grade Level or Above,2021,42%,39%,31%,*,23%,52%,-,*,*,*,16%,18%,17%
,2019,50%,48%,49%,20%,42%,65%,*,*,-,*,21%,37%,25%
At Masters Grade Level,2021,23%,21%,13%,*,7%,25%,-,*,*,*,8%,7%,8%
,2019,25%,23%,22%,20%,16%,36%,*,*,-,*,5%,11%,13%
Grade 8 Social Studies,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,56%,54%,56%,*,51%,73%,-,60%,*,50%,24%,41%,50%
,2019,67%,65%,76%,*,71%,88%,*,*,-,*,39%,67%,38%
At Meets Grade Level or Above,2021,28%,26%,24%,*,17%,42%,-,40%,*,50%,16%,12%,17%
,2019,36%,34%,42%,*,33%,58%,*,*,-,*,17%,30%,0%
At Masters Grade Level,2021,13%,12%,10%,*,5%,21%,-,20%,*,17%,8%,4%,0%
,2019,20%,19%,22%,*,17%,33%,*,*,-,*,6%,13%,0%
End of Course English I,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,66%,65%,65%,50%,60%,79%,*,*,*,80%,30%,54%,35%
,2019,66%,65%,63%,80%,58%,73%,*,-,*,71%,15%,53%,25%
At Meets Grade Level or Above,2021,49%,48%,45%,50%,38%,61%,*,*,*,60%,17%,32%,19%
,2019,48%,47%,45%,40%,41%,56%,*,-,*,43%,8%,33%,21%
At Masters Grade Level,2021,12%,11%,7%,0%,4%,14%,*,*,*,0%,0%,5%,0%
,2019,10%,10%,7%,0%,5%,12%,*,-,*,0%,0%,5%,0%
End of Course English II,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,70%,71%,74%,67%,70%,83%,-,*,*,*,43%,68%,40%
,2019,67%,67%,62%,50%,58%,72%,60%,*,-,80%,20%,50%,18%
At Meets Grade Level or Above,2021,57%,56%,52%,33%,47%,64%,-,*,*,*,11%,41%,20%
,2019,48%,47%,43%,50%,37%,56%,0%,*,-,80%,7%,30%,6%
At Masters Grade Level,2021,11%,10%,3%,0%,3%,3%,-,*,*,*,0%,3%,0%
,2019,8%,7%,4%,0%,3%,5%,0%,*,-,20%,0%,1%,0%
End of Course Algebra I,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,72%,65%,74%,80%,70%,79%,*,*,*,100%,56%,66%,67%
,2019,83%,81%,75%,*,72%,84%,*,*,*,67%,30%,65%,63%
At Meets Grade Level or Above,2021,40%,32%,35%,20%,30%,42%,*,*,*,67%,24%,27%,29%
,2019,59%,54%,44%,*,37%,61%,*,*,*,50%,9%,30%,13%
At Masters Grade Level,2021,23%,17%,16%,0%,14%,20%,*,*,*,50%,11%,10%,17%
,2019,36%,32%,26%,*,19%,41%,*,*,*,50%,5%,15%,0%
End of Course Biology,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,81%,80%,78%,50%,75%,86%,*,*,*,100%,55%,67%,62%
,2019,87%,86%,90%,*,87%,97%,*,*,*,100%,57%,86%,61%
At Meets Grade Level or Above,2021,54%,51%,51%,17%,44%,67%,*,*,*,80%,30%,37%,19%
,2019,60%,60%,66%,*,59%,88%,*,*,*,67%,16%,55%,22%
At Masters Grade Level,2021,21%,20%,13%,0%,7%,26%,*,*,*,20%,5%,8%,0%
,2019,24%,25%,28%,*,22%,44%,*,*,*,50%,3%,20%,6%
End of Course U.S. History,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,88%,88%,92%,*,89%,97%,-,*,*,100%,46%,88%,67%
,2019,92%,93%,91%,*,91%,93%,*,80%,*,*,69%,87%,43%
At Meets Grade Level or Above,2021,69%,68%,67%,*,63%,77%,-,*,*,80%,23%,58%,11%
,2019,72%,74%,71%,*,68%,80%,*,80%,*,*,36%,60%,14%
At Masters Grade Level,2021,42%,41%,37%,*,31%,51%,-,*,*,40%,12%,32%,0%
,2019,44%,47%,44%,*,38%,56%,*,80%,*,*,12%,27%,0%
All Grades All Subjects,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,67%,63%,64%,47%,60%,74%,54%,81%,93%,71%,35%,53%,47%
,2019,77%,75%,75%,70%,71%,82%,76%,89%,100%,78%,40%,67%,60%
At Meets Grade Level or Above,2021,41%,37%,36%,21%,31%,48%,38%,49%,60%,50%,17%,26%,18%
,2019,49%,46%,45%,31%,40%,57%,38%,59%,50%,52%,18%,35%,24%
At Masters Grade Level,2021,18%,16%,13%,3%,10%,20%,8%,13%,27%,24%,3%,8%,5%
,2019,23%,21%,19%,9%,16%,26%,9%,30%,7%,24%,4%,12%,9%
All Grades ELA/Reading,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,68%,65%,63%,47%,59%,73%,60%,78%,80%,71%,29%,53%,42%
,2019,73%,72%,70%,63%,66%,78%,68%,92%,*,74%,26%,61%,50%
At Meets Grade Level or Above,2021,44%,42%,38%,29%,33%,50%,40%,50%,80%,52%,15%,28%,19%
,2019,47%,45%,42%,28%,37%,53%,21%,42%,*,47%,13%,31%,20%
At Masters Grade Level,2021,18%,16%,12%,0%,10%,18%,20%,6%,40%,24%,1%,8%,5%
,2019,20%,18%,15%,6%,13%,21%,11%,8%,*,16%,3%,10%,6%
All Grades Mathematics,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,65%,59%,63%,45%,59%,73%,60%,88%,*,72%,41%,53%,59%
,2019,81%,78%,79%,77%,77%,85%,83%,100%,*,78%,51%,73%,78%
At Meets Grade Level or Above,2021,37%,31%,32%,16%,27%,42%,40%,50%,*,49%,18%,23%,24%
,2019,51%,47%,46%,32%,41%,57%,50%,73%,*,48%,21%,36%,32%
At Masters Grade Level,2021,17%,13%,12%,3%,10%,18%,0%,13%,*,23%,4%,9%,8%
,2019,26%,23%,19%,5%,17%,25%,8%,45%,*,26%,4%,14%,13%
All Grades Writing,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,57%,53%,50%,44%,44%,63%,*,*,*,64%,21%,41%,26%
,2019,67%,64%,59%,63%,56%,63%,*,*,*,80%,25%,51%,45%
At Meets Grade Level or Above,2021,29%,26%,21%,11%,16%,34%,*,*,*,27%,14%,13%,8%
,2019,38%,34%,29%,25%,27%,32%,*,*,*,40%,13%,22%,13%
At Masters Grade Level,2021,9%,7%,5%,0%,3%,9%,*,*,*,18%,2%,3%,0%
,2019,14%,12%,9%,13%,9%,9%,*,*,*,0%,2%,7%,5%
All Grades Science,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,70%,67%,67%,38%,63%,76%,*,83%,*,75%,41%,55%,45%
,2019,80%,78%,83%,80%,79%,91%,83%,80%,*,85%,52%,75%,64%
At Meets Grade Level or Above,2021,43%,39%,38%,8%,31%,53%,*,67%,*,50%,20%,26%,14%
,2019,53%,51%,57%,50%,50%,74%,50%,40%,*,69%,22%,45%,26%
At Masters Grade Level,2021,19%,17%,12%,0%,7%,22%,*,33%,*,25%,4%,7%,3%
,2019,24%,23%,25%,30%,18%,39%,0%,20%,*,31%,5%,16%,11%
All Grades Social Studies,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,73%,73%,76%,71%,71%,88%,-,67%,*,73%,35%,63%,55%
,2019,80%,79%,84%,80%,81%,90%,*,86%,*,83%,60%,77%,40%
At Meets Grade Level or Above,2021,49%,49%,48%,43%,42%,63%,-,33%,*,64%,20%,34%,15%
,2019,54%,54%,57%,20%,51%,69%,*,86%,*,67%,30%,45%,7%
At Masters Grade Level,2021,28%,28%,25%,29%,19%,40%,-,17%,*,27%,10%,17%,0%
,2019,32%,33%,33%,0%,28%,45%,*,57%,*,67%,10%,20%,0%
