Texas Education Agency,,,,,,,,,,,,,,
2020-21 STAAR Performance (All Students),,,,,,,,,,,,,,
FLORESVILLE ISD (247901) - WILSON COUNTY,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,State,Region 20,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed","Econ
Disadv",EB/EL
"STAAR Performance Rates by Tested Grade, Subject, and Performance Level",,,,,,,,,,,,,,
Grade 3 Reading,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,67%,64%,58%,*,51%,68%,*,*,-,71%,16%,49%,27%
,2019,75%,72%,65%,*,63%,68%,-,*,-,*,17%,58%,66%
At Meets Grade Level or Above,2021,38%,36%,33%,*,28%,44%,*,*,-,43%,8%,26%,14%
,2019,44%,41%,33%,*,29%,42%,-,*,-,*,6%,29%,21%
At Masters Grade Level,2021,19%,17%,11%,*,10%,13%,*,*,-,29%,0%,7%,0%
,2019,27%,24%,19%,*,16%,23%,-,*,-,*,0%,14%,14%
Grade 3 Mathematics,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,61%,55%,56%,*,49%,66%,*,*,-,71%,15%,49%,45%
,2019,78%,75%,70%,*,67%,76%,-,*,-,*,28%,64%,59%
At Meets Grade Level or Above,2021,30%,26%,26%,*,17%,40%,*,*,-,43%,4%,23%,18%
,2019,48%,44%,37%,*,34%,44%,-,*,-,*,6%,31%,31%
At Masters Grade Level,2021,14%,12%,13%,*,10%,18%,*,*,-,29%,0%,9%,5%
,2019,24%,21%,13%,*,12%,16%,-,*,-,*,0%,10%,7%
Grade 4 Reading,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,62%,59%,53%,40%,47%,66%,-,*,-,67%,33%,45%,33%
,2019,74%,71%,62%,60%,58%,67%,*,*,*,*,30%,51%,50%
At Meets Grade Level or Above,2021,36%,33%,29%,40%,22%,41%,-,*,-,50%,17%,23%,13%
,2019,43%,40%,29%,0%,27%,37%,*,*,*,*,11%,20%,17%
At Masters Grade Level,2021,17%,15%,12%,0%,8%,23%,-,*,-,17%,4%,7%,13%
,2019,21%,19%,11%,0%,10%,14%,*,*,*,*,0%,6%,6%
Grade 4 Mathematics,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,58%,51%,52%,40%,46%,62%,-,*,-,67%,32%,41%,47%
,2019,74%,69%,66%,60%,61%,74%,*,*,*,*,41%,57%,89%
At Meets Grade Level or Above,2021,35%,29%,30%,20%,23%,48%,-,*,-,33%,16%,21%,27%
,2019,46%,41%,40%,40%,38%,45%,*,*,*,*,19%,29%,44%
At Masters Grade Level,2021,21%,16%,17%,0%,13%,26%,-,*,-,17%,4%,11%,13%
,2019,27%,23%,18%,0%,17%,21%,*,*,*,*,4%,11%,28%
Grade 4 Writing,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,52%,48%,46%,60%,41%,57%,-,*,-,50%,17%,39%,21%
,2019,66%,62%,52%,40%,49%,56%,*,*,*,*,22%,41%,44%
At Meets Grade Level or Above,2021,27%,24%,17%,20%,13%,26%,-,*,-,17%,17%,13%,7%
,2019,34%,31%,22%,0%,22%,21%,*,*,*,*,11%,14%,22%
At Masters Grade Level,2021,8%,7%,5%,0%,3%,10%,-,*,-,0%,0%,2%,0%
,2019,11%,8%,4%,0%,4%,5%,*,*,*,*,0%,2%,11%
Grade 5 Reading+,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,72%,69%,66%,40%,63%,73%,-,*,-,71%,23%,58%,64%
,2019,86%,84%,84%,*,81%,87%,*,*,-,*,42%,75%,86%
At Meets Grade Level or Above,2021,45%,42%,41%,20%,36%,51%,-,*,-,43%,7%,31%,29%
,2019,53%,49%,48%,*,43%,60%,*,*,-,*,23%,36%,48%
At Masters Grade Level,2021,29%,27%,25%,0%,21%,34%,-,*,-,14%,0%,16%,7%
,2019,29%,26%,27%,*,18%,41%,*,*,-,*,10%,16%,14%
Grade 5 Mathematics+,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,69%,64%,72%,20%,70%,79%,-,*,-,57%,53%,61%,75%
