Texas Education Agency,,,,,,,,,,,,,,
2018-19 STAAR Performance (All Students),,,,,,,,,,,,,,
FLORESVILLE ISD (247901) - WILSON COUNTY,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,State,Region 20,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed","Econ
Disadv",EB/EL
"STAAR Performance Rates by Tested Grade, Subject, and Performance Level",,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,74%,73%,76%,*,70%,91%,*,*,*,*,36%,66%,50%
,2018,73%,72%,80%,40%,80%,81%,*,*,-,*,59%,77%,29%
At Meets Grade Level or Above,2019,48%,46%,45%,*,40%,59%,*,*,*,*,22%,36%,23%
,2018,47%,46%,48%,40%,47%,50%,*,*,-,*,24%,38%,0%
At Masters Grade Level,2019,29%,26%,26%,*,24%,33%,*,*,*,*,3%,21%,9%
,2018,28%,27%,28%,0%,28%,30%,*,*,-,*,6%,15%,0%
Grade 7 Mathematics,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,73%,70%,81%,*,76%,92%,*,*,*,*,56%,75%,68%
,2018,71%,68%,82%,40%,82%,85%,*,*,-,*,78%,77%,57%
At Meets Grade Level or Above,2019,41%,38%,46%,*,42%,55%,*,*,*,*,25%,38%,14%
,2018,39%,36%,52%,20%,47%,66%,*,*,-,*,22%,41%,14%
At Masters Grade Level,2019,16%,14%,18%,*,18%,15%,*,*,*,*,6%,15%,5%
,2018,18%,15%,27%,20%,23%,36%,*,*,-,*,6%,19%,0%
Grade 7 Writing,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,69%,66%,65%,*,62%,72%,*,*,*,*,28%,60%,45%
,2018,68%,67%,76%,60%,75%,76%,*,*,-,*,20%,72%,17%
At Meets Grade Level or Above,2019,41%,37%,35%,*,31%,45%,*,*,*,*,14%,29%,5%
,2018,42%,41%,44%,0%,43%,48%,*,*,-,*,13%,36%,0%
At Masters Grade Level,2019,17%,15%,13%,*,13%,14%,*,*,*,*,3%,11%,0%
,2018,14%,13%,9%,0%,8%,11%,*,*,-,*,7%,5%,0%
Grade 8 Reading+,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,84%,84%,90%,60%,88%,95%,*,*,-,*,56%,85%,50%
,2018,85%,84%,88%,*,86%,94%,-,-,-,83%,45%,82%,44%
At Meets Grade Level or Above,2019,53%,52%,55%,20%,50%,65%,*,*,-,*,22%,45%,0%
,2018,48%,47%,52%,*,47%,63%,-,-,-,50%,20%,39%,11%
At Masters Grade Level,2019,27%,26%,27%,0%,23%,37%,*,*,-,*,11%,15%,0%
,2018,26%,25%,26%,*,21%,36%,-,-,-,17%,0%,17%,0%
Grade 8 Mathematics+,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,87%,86%,93%,80%,92%,95%,*,*,-,*,63%,92%,100%
,2018,85%,82%,91%,*,89%,97%,-,-,-,83%,57%,88%,67%
At Meets Grade Level or Above,2019,55%,52%,56%,20%,51%,68%,*,*,-,*,21%,49%,50%
,2018,50%,45%,60%,*,54%,72%,-,-,-,67%,43%,47%,22%
At Masters Grade Level,2019,17%,13%,12%,0%,13%,13%,*,*,-,*,0%,11%,0%
,2018,15%,11%,23%,*,18%,30%,-,-,-,50%,10%,15%,0%
Grade 8 Science,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,79%,78%,81%,60%,77%,89%,*,*,-,*,47%,72%,38%
,2018,75%,73%,84%,*,80%,91%,-,-,-,83%,43%,78%,44%
At Meets Grade Level or Above,2019,50%,48%,49%,20%,42%,65%,*,*,-,*,21%,37%,25%
,2018,50%,49%,58%,*,51%,72%,-,-,-,50%,24%,44%,22%
At Masters Grade Level,2019,25%,23%,22%,20%,16%,36%,*,*,-,*,5%,11%,13%
,2018,27%,26%,32%,*,25%,49%,-,-,-,33%,14%,18%,11%
Grade 8 Social Studies,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,67%,65%,76%,*,71%,88%,*,*,-,*,39%,67%,38%
,2018,64%,62%,79%,*,76%,87%,-,-,-,83%,24%,69%,33%
At Meets Grade Level or Above,2019,36%,34%,42%,*,33%,58%,*,*,-,*,17%,30%,0%
,2018,35%,32%,54%,*,46%,70%,-,-,-,50%,24%,42%,11%
At Masters Grade Level,2019,20%,19%,22%,*,17%,33%,*,*,-,*,6%,13%,0%
,2018,20%,18%,35%,*,28%,50%,-,-,-,33%,14%,26%,0%
End of Course English I,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,66%,65%,63%,80%,58%,73%,*,-,*,71%,15%,53%,25%
,2018,64%,63%,63%,60%,58%,73%,*,*,-,82%,12%,49%,21%
At Meets Grade Level or Above,2019,48%,47%,45%,40%,41%,56%,*,-,*,43%,8%,33%,21%
,2018,43%,42%,42%,60%,36%,50%,*,*,-,82%,8%,26%,0%
At Masters Grade Level,2019,10%,10%,7%,0%,5%,12%,*,-,*,0%,0%,5%,0%
,2018,7%,6%,5%,0%,4%,7%,*,*,-,9%,0%,1%,0%
End of Course English II,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,67%,67%,62%,50%,58%,72%,60%,*,-,80%,20%,50%,18%
,2018,66%,66%,69%,*,65%,76%,-,67%,*,*,21%,61%,31%
At Meets Grade Level or Above,2019,48%,47%,43%,50%,37%,56%,0%,*,-,80%,7%,30%,6%
,2018,47%,47%,46%,*,42%,54%,-,50%,*,*,11%,37%,8%
At Masters Grade Level,2019,8%,7%,4%,0%,3%,5%,0%,*,-,20%,0%,1%,0%
,2018,8%,7%,8%,*,7%,10%,-,17%,*,*,0%,3%,0%
End of Course Algebra I,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,83%,81%,75%,*,72%,84%,*,*,*,67%,30%,65%,63%
,2018,82%,79%,78%,100%,73%,88%,*,*,-,100%,45%,69%,50%
At Meets Grade Level or Above,2019,59%,54%,44%,*,37%,61%,*,*,*,50%,9%,30%,13%
,2018,53%,50%,42%,60%,36%,52%,*,*,-,80%,13%,30%,21%
