Texas Education Agency,,,,,,,,,,,,,,
2023-24 STAAR Performance (All Students),,,,,,,,,,,,,,
FLORESVILLE ISD (247901) - WILSON COUNTY,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,State,Region 20,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed","Econ
Disadv",EB/EL
,2023,64%,62%,68%,*,61%,84%,*,*,-,57%,37%,59%,43%
At Meets Grade Level or Above,2024,27%,24%,28%,17%,22%,42%,*,*,*,*,12%,18%,4%
,2023,35%,33%,33%,*,28%,43%,*,*,-,29%,17%,26%,7%
At Masters Grade Level,2024,11%,10%,9%,0%,7%,15%,*,*,*,*,4%,5%,0%
,2023,15%,14%,14%,*,13%,18%,*,*,-,0%,9%,7%,0%
Grade 6 Reading,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2024,75%,74%,75%,*,70%,88%,*,*,-,50%,29%,65%,48%
,2023,75%,74%,79%,80%,75%,86%,-,*,-,100%,53%,69%,45%
At Meets Grade Level or Above,2024,55%,54%,52%,*,48%,65%,*,*,-,50%,21%,38%,16%
,2023,51%,49%,53%,40%,46%,69%,-,*,-,75%,22%,39%,20%
At Masters Grade Level,2024,25%,22%,18%,*,15%,21%,*,*,-,33%,3%,13%,4%
,2023,22%,19%,18%,40%,13%,28%,-,*,-,13%,3%,13%,5%
Grade 6 Mathematics,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2024,70%,68%,66%,*,64%,74%,*,*,-,50%,29%,56%,44%
,2023,74%,72%,70%,80%,65%,81%,-,*,-,75%,39%,61%,50%
At Meets Grade Level or Above,2024,38%,36%,28%,*,23%,36%,*,*,-,50%,3%,20%,8%
,2023,38%,35%,30%,20%,23%,49%,-,*,-,38%,14%,22%,20%
At Masters Grade Level,2024,13%,11%,5%,*,4%,9%,*,*,-,0%,0%,2%,0%
,2023,15%,12%,10%,0%,5%,19%,-,*,-,25%,3%,6%,5%
Grade 7 Reading,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2024,72%,72%,79%,80%,76%,85%,-,*,-,100%,35%,71%,40%
,2023,77%,75%,74%,*,71%,80%,-,-,*,83%,23%,68%,55%
At Meets Grade Level or Above,2024,53%,51%,57%,40%,51%,71%,-,*,-,75%,19%,45%,13%
,2023,53%,50%,48%,*,46%,54%,-,-,*,50%,8%,36%,26%
At Masters Grade Level,2024,28%,25%,30%,40%,24%,39%,-,*,-,50%,8%,20%,7%
,2023,26%,23%,22%,*,20%,28%,-,-,*,17%,0%,17%,13%
Grade 7 Mathematics,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2024,54%,50%,45%,*,40%,58%,-,*,-,50%,19%,33%,33%
,2023,61%,59%,69%,*,66%,79%,-,-,*,50%,42%,61%,61%
At Meets Grade Level or Above,2024,33%,30%,21%,*,18%,28%,-,*,-,50%,8%,14%,13%
,2023,36%,33%,41%,*,36%,51%,-,-,*,33%,13%,32%,32%
At Masters Grade Level,2024,11%,9%,2%,*,3%,0%,-,*,-,0%,0%,1%,7%
,2023,11%,9%,11%,*,8%,19%,-,-,*,0%,0%,7%,3%
Grade 8 Reading,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2024,79%,78%,82%,*,81%,86%,-,-,*,63%,40%,77%,69%
,2023,82%,81%,83%,100%,79%,89%,-,*,*,*,57%,77%,82%
At Meets Grade Level or Above,2024,55%,52%,58%,*,55%,67%,-,-,*,50%,8%,48%,38%
,2023,56%,53%,52%,63%,47%,63%,-,*,*,*,32%,38%,50%
At Masters Grade Level,2024,28%,25%,26%,*,25%,31%,-,-,*,13%,0%,21%,7%
,2023,27%,24%,24%,13%,22%,28%,-,*,*,*,5%,14%,18%
Grade 8 Mathematics,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2024,70%,67%,79%,*,77%,86%,-,-,*,60%,41%,72%,66%
,2023,74%,71%,76%,100%,71%,85%,-,*,*,*,50%,69%,77%
At Meets Grade Level or Above,2024,41%,35%,52%,*,48%,60%,-,-,*,50%,12%,40%,41%
,2023,45%,40%,45%,57%,39%,56%,-,*,*,*,25%,34%,45%
At Masters Grade Level,2024,15%,11%,19%,*,18%,22%,-,-,*,20%,5%,12%,3%
,2023,17%,13%,14%,0%,10%,25%,-,*,*,*,7%,9%,9%
Grade 8 Science,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2024,68%,67%,76%,*,73%,85%,-,-,*,63%,43%,67%,59%
,2023,73%,71%,76%,100%,70%,85%,-,*,*,*,52%,68%,64%
At Meets Grade Level or Above,2024,42%,41%,43%,*,42%,49%,-,-,*,13%,8%,33%,21%
,2023,46%,45%,49%,50%,43%,60%,-,*,*,*,30%,36%,41%
At Masters Grade Level,2024,16%,15%,11%,*,10%,15%,-,-,*,0%,0%,8%,0%
,2023,16%,16%,13%,25%,11%,19%,-,*,*,*,5%,8%,5%
Grade 8 Social Studies,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2024,58%,58%,57%,*,56%,61%,-,-,*,75%,18%,47%,38%
,2023,60%,60%,59%,63%,52%,70%,-,*,*,*,36%,45%,41%
At Meets Grade Level or Above,2024,31%,31%,28%,*,24%,40%,-,-,*,25%,3%,19%,7%
,2023,32%,31%,27%,38%,24%,30%,-,*,*,*,20%,19%,14%
At Masters Grade Level,2024,16%,16%,13%,*,11%,20%,-,-,*,13%,0%,8%,3%
,2023,16%,15%,14%,25%,12%,15%,-,*,*,*,5%,8%,5%
End of Course English I,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2024,67%,67%,69%,78%,63%,82%,-,*,*,*,40%,59%,55%
,2023,70%,69%,71%,80%,68%,79%,*,-,-,63%,38%,63%,57%
At Meets Grade Level or Above,2024,50%,48%,49%,56%,42%,64%,-,*,*,*,25%,37%,31%
,2023,50%,48%,44%,20%,38%,62%,*,-,-,38%,17%,34%,25%
At Masters Grade Level,2024,15%,13%,8%,11%,6%,12%,-,*,*,*,1%,3%,0%
,2023,13%,11%,6%,0%,4%,11%,*,-,-,25%,0%,4%,2%
End of Course English II,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2024,74%,74%,73%,*,72%,77%,*,-,-,75%,31%,66%,50%
,2023,73%,73%,76%,*,75%,81%,*,*,*,50%,33%,69%,55%
At Meets Grade Level or Above,2024,57%,56%,52%,*,49%,61%,*,-,-,50%,15%,42%,30%
,2023,53%,52%,51%,*,45%,64%,*,*,*,50%,12%,39%,32%
At Masters Grade Level,2024,8%,7%,4%,*,2%,8%,*,-,-,25%,2%,3%,0%
,2023,8%,7%,5%,*,2%,12%,*,*,*,10%,0%,2%,0%
End of Course Algebra I,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2024,79%,78%,78%,89%,73%,89%,-,*,*,*,46%,73%,73%
,2023,77%,75%,78%,80%,72%,90%,*,-,-,100%,52%,71%,63%
At Meets Grade Level or Above,2024,41%,36%,32%,22%,25%,50%,-,*,*,*,10%,22%,16%
,2023,42%,37%,44%,20%,35%,61%,*,-,-,83%,20%,31%,30%
At Masters Grade Level,2024,23%,18%,17%,0%,13%,29%,-,*,*,*,7%,10%,8%
,2023,22%,18%,22%,20%,15%,34%,*,-,-,50%,5%,12%,10%
End of Course Biology,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2024,90%,91%,95%,100%,92%,100%,-,*,*,*,87%,91%,86%
,2023,87%,87%,86%,*,81%,96%,*,-,-,88%,61%,83%,69%
At Meets Grade Level or Above,2024,54%,55%,53%,56%,42%,77%,-,*,*,*,23%,37%,24%
,2023,54%,54%,46%,*,35%,71%,*,-,-,50%,27%,35%,22%
At Masters Grade Level,2024,18%,18%,12%,11%,8%,24%,-,*,*,*,3%,5%,0%
,2023,20%,20%,11%,*,8%,18%,*,-,-,13%,2%,6%,2%
End of Course U.S. History,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2024,95%,95%,98%,*,97%,98%,-,*,*,100%,88%,97%,97%
,2023,93%,93%,96%,*,95%,98%,*,*,*,100%,84%,92%,95%
At Meets Grade Level or Above,2024,68%,68%,68%,*,62%,83%,-,*,*,60%,33%,59%,50%
,2023,69%,69%,70%,*,66%,78%,*,*,*,67%,28%,60%,45%
At Masters Grade Level,2024,36%,37%,32%,*,24%,52%,-,*,*,0%,10%,26%,15%
,2023,37%,38%,34%,*,33%,40%,*,*,*,33%,16%,25%,9%
All Grades All Subjects,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2024,73%,72%,72%,75%,68%,80%,40%,81%,82%,78%,39%,63%,57%
,2023,75%,73%,75%,80%,71%,83%,100%,79%,88%,80%,46%,66%,61%
At Meets Grade Level or Above,2024,47%,45%,44%,39%,39%,56%,20%,48%,53%,53%,15%,33%,26%
,2023,48%,46%,44%,44%,39%,56%,67%,61%,63%,59%,21%,34%,28%
At Masters Grade Level,2024,19%,17%,15%,12%,12%,22%,10%,30%,12%,24%,3%,10%,5%
,2023,19%,17%,15%,19%,12%,22%,17%,24%,13%,24%,4%,10%,6%
All Grades ELA/Reading,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2024,74%,73%,73%,81%,70%,82%,60%,90%,100%,80%,35%,65%,52%
,2023,76%,74%,75%,78%,72%,80%,*,79%,100%,78%,39%,67%,60%
At Meets Grade Level or Above,2024,52%,51%,50%,44%,45%,62%,20%,50%,67%,62%,17%,38%,28%
,2023,52%,50%,47%,50%,42%,58%,*,71%,67%,61%,19%,35%,29%
At Masters Grade Level,2024,21%,19%,17%,19%,14%,22%,20%,40%,17%,36%,2%,11%,4%
,2023,20%,17%,15%,22%,12%,20%,*,21%,17%,28%,2%,9%,6%
All Grades Mathematics,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2024,70%,68%,66%,66%,62%,76%,*,70%,67%,73%,34%,57%,58%
,2023,74%,71%,72%,78%,66%,84%,*,70%,80%,81%,47%,63%,63%
At Meets Grade Level or Above,2024,42%,38%,36%,31%,31%,47%,*,40%,33%,54%,11%,27%,25%
,2023,44%,40%,41%,38%,34%,54%,*,50%,60%,60%,19%,31%,30%
At Masters Grade Level,2024,17%,14%,12%,7%,10%,18%,*,10%,0%,22%,4%,8%,8%
,2023,18%,15%,15%,13%,11%,24%,*,30%,0%,26%,4%,10%,8%
All Grades Science,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2024,73%,72%,76%,78%,74%,83%,*,*,*,79%,53%,69%,62%
,2023,76%,74%,77%,94%,72%,89%,*,83%,*,78%,52%,71%,60%
At Meets Grade Level or Above,2024,42%,41%,42%,39%,36%,58%,*,*,*,36%,15%,30%,17%
,2023,46%,45%,43%,38%,35%,60%,*,50%,*,44%,25%,32%,22%
At Masters Grade Level,2024,15%,14%,11%,6%,8%,18%,*,*,*,0%,3%,6%,0%
,2023,17%,17%,13%,19%,10%,18%,*,17%,*,6%,4%,7%,2%
All Grades Social Studies,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2024,77%,77%,78%,83%,77%,81%,-,*,*,85%,54%,72%,70%
,2023,77%,77%,78%,75%,75%,84%,*,*,*,100%,60%,69%,68%
At Meets Grade Level or Above,2024,50%,50%,49%,50%,43%,63%,-,*,*,38%,18%,39%,30%
,2023,50%,50%,50%,50%,47%,53%,*,*,*,67%,24%,40%,30%
At Masters Grade Level,2024,26%,27%,23%,17%,18%,37%,-,*,*,8%,5%,17%,10%
,2023,26%,26%,25%,25%,24%,27%,*,*,*,33%,10%,17%,7%
