Texas Education Agency,,,,,,,,,,,,,,
2023-24 STAAR Performance (All Students),,,,,,,,,,,,,,
FLORESVILLE ISD (247901) - WILSON COUNTY,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,State,Region 20,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed","Econ
Disadv",EB/EL
"STAAR Performance Rates by Tested Grade, Subject, and Performance Level",,,,,,,,,,,,,,
Grade 3 Reading,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2024,72%,70%,63%,*,56%,78%,*,-,*,83%,39%,52%,35%
,2023,75%,73%,67%,*,64%,73%,-,*,*,86%,39%,58%,64%
At Meets Grade Level or Above,2024,47%,44%,37%,*,27%,60%,*,-,*,50%,20%,26%,19%
,2023,49%,46%,37%,*,33%,40%,-,*,*,86%,24%,28%,39%
At Masters Grade Level,2024,20%,18%,13%,*,9%,22%,*,-,*,33%,2%,7%,8%
,2023,19%,16%,13%,*,11%,12%,-,*,*,43%,0%,10%,11%
Grade 3 Mathematics,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2024,68%,66%,57%,*,51%,70%,*,-,*,83%,27%,44%,43%
,2023,72%,69%,61%,*,54%,74%,-,*,*,86%,42%,51%,57%
At Meets Grade Level or Above,2024,41%,38%,31%,*,26%,46%,*,-,*,33%,20%,23%,22%
,2023,44%,40%,33%,*,27%,40%,-,*,*,71%,21%,25%,29%
At Masters Grade Level,2024,15%,13%,8%,*,5%,17%,*,-,*,0%,2%,5%,5%
,2023,18%,16%,12%,*,9%,13%,-,*,*,43%,0%,8%,7%
Grade 4 Reading,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2024,79%,78%,75%,*,70%,84%,-,*,*,100%,37%,66%,65%
,2023,76%,75%,75%,80%,74%,73%,-,*,*,100%,38%,68%,62%
At Meets Grade Level or Above,2024,50%,47%,45%,*,40%,52%,-,*,*,100%,12%,35%,50%
,2023,47%,45%,41%,60%,34%,53%,-,*,*,80%,24%,27%,15%
At Masters Grade Level,2024,22%,19%,17%,*,13%,23%,-,*,*,86%,0%,10%,15%
,2023,21%,19%,16%,40%,13%,22%,-,*,*,60%,5%,10%,4%
Grade 4 Mathematics,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2024,67%,62%,62%,*,55%,75%,-,*,*,100%,32%,50%,62%
,2023,69%,65%,69%,40%,63%,83%,-,*,*,80%,38%,60%,63%
At Meets Grade Level or Above,2024,44%,40%,40%,*,34%,49%,-,*,*,86%,12%,31%,42%
,2023,47%,42%,45%,20%,40%,57%,-,*,*,80%,17%,36%,30%
At Masters Grade Level,2024,20%,16%,17%,*,13%,20%,-,*,*,86%,0%,14%,27%
,2023,21%,17%,19%,20%,15%,29%,-,*,*,20%,5%,13%,11%
Grade 5 Reading,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2024,78%,77%,73%,100%,70%,78%,*,*,*,*,31%,66%,50%
,2023,80%,79%,76%,*,73%,84%,*,*,-,71%,37%,68%,64%
At Meets Grade Level or Above,2024,53%,52%,49%,33%,47%,56%,*,*,*,*,14%,39%,21%
,2023,56%,54%,49%,*,44%,61%,*,*,-,57%,23%,37%,25%
At Masters Grade Level,2024,28%,26%,22%,17%,20%,29%,*,*,*,*,4%,15%,0%
,2023,28%,26%,21%,*,18%,28%,*,*,-,29%,3%,12%,4%
Grade 5 Mathematics,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2024,75%,73%,66%,33%,65%,71%,*,*,*,*,33%,59%,71%
,2023,79%,78%,80%,*,74%,94%,*,*,-,86%,68%,71%,68%
At Meets Grade Level or Above,2024,49%,46%,38%,33%,36%,46%,*,*,*,*,12%,29%,32%
,2023,50%,48%,44%,*,37%,58%,*,*,-,57%,24%,37%,25%
At Masters Grade Level,2024,19%,16%,14%,17%,10%,24%,*,*,*,*,8%,9%,7%
,2023,21%,20%,17%,*,12%,24%,*,*,-,29%,6%,13%,11%
Grade 5 Science,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2024,56%,53%,54%,33%,52%,59%,*,*,*,*,20%,45%,29%
