Texas Education Agency,,,,,,,,,,,,,,
2022-23 STAAR Performance (All Students),,,,,,,,,,,,,,
FLORESVILLE ISD (247901) - WILSON COUNTY,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,State,Region 20,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed","Econ
Disadv",EB/EL
"STAAR Performance Rates by Tested Grade, Subject, and Performance Level",,,,,,,,,,,,,,
Grade 7 Mathematics,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2023,61%,59%,69%,*,66%,79%,-,-,*,50%,42%,61%,61%
,2022,60%,54%,61%,88%,56%,73%,-,*,*,40%,48%,44%,59%
At Meets Grade Level or Above,2023,36%,33%,41%,*,36%,51%,-,-,*,33%,13%,32%,32%
,2022,30%,26%,33%,38%,31%,39%,-,*,*,40%,23%,17%,18%
At Masters Grade Level,2023,11%,9%,11%,*,8%,19%,-,-,*,0%,0%,7%,3%
,2022,13%,10%,13%,13%,9%,20%,-,*,*,20%,3%,3%,5%
Grade 8 Reading,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2023,82%,81%,83%,100%,79%,89%,-,*,*,*,57%,77%,82%
,2022,82%,80%,80%,*,76%,86%,*,-,*,100%,46%,74%,77%
At Meets Grade Level or Above,2023,56%,53%,52%,63%,47%,63%,-,*,*,*,32%,38%,50%
,2022,57%,55%,54%,*,49%,67%,*,-,*,40%,26%,40%,38%
At Masters Grade Level,2023,27%,24%,24%,13%,22%,28%,-,*,*,*,5%,14%,18%
,2022,37%,35%,36%,*,30%,46%,*,-,*,40%,11%,25%,27%
Grade 8 Mathematics,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2023,74%,71%,76%,100%,71%,85%,-,*,*,*,50%,69%,77%
,2022,70%,65%,69%,*,63%,79%,*,-,-,100%,35%,63%,54%
At Meets Grade Level or Above,2023,45%,40%,45%,57%,39%,56%,-,*,*,*,25%,34%,45%
,2022,39%,32%,35%,*,28%,46%,*,-,-,100%,21%,25%,27%
At Masters Grade Level,2023,17%,13%,14%,0%,10%,25%,-,*,*,*,7%,9%,9%
,2022,14%,9%,10%,*,8%,14%,*,-,-,20%,12%,7%,15%
Grade 8 Science,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2023,73%,71%,76%,100%,70%,85%,-,*,*,*,52%,68%,64%
,2022,73%,71%,66%,*,60%,79%,*,-,*,100%,31%,53%,52%
At Meets Grade Level or Above,2023,46%,45%,49%,50%,43%,60%,-,*,*,*,30%,36%,41%
,2022,44%,41%,35%,*,30%,45%,*,-,*,60%,14%,23%,30%
At Masters Grade Level,2023,16%,16%,13%,25%,11%,19%,-,*,*,*,5%,8%,5%
,2022,23%,21%,16%,*,12%,24%,*,-,*,20%,6%,10%,15%
Grade 8 Social Studies,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2023,60%,60%,59%,63%,52%,70%,-,*,*,*,36%,45%,41%
,2022,59%,58%,57%,*,52%,67%,*,-,*,80%,31%,45%,41%
At Meets Grade Level or Above,2023,32%,31%,27%,38%,24%,30%,-,*,*,*,20%,19%,14%
,2022,30%,28%,27%,*,19%,40%,*,-,*,60%,17%,18%,15%
At Masters Grade Level,2023,16%,15%,14%,25%,12%,15%,-,*,*,*,5%,8%,5%
,2022,17%,15%,17%,*,13%,23%,*,-,*,40%,3%,11%,7%
End of Course English I,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2023,70%,69%,71%,80%,68%,79%,*,-,-,63%,38%,63%,57%
,2022,64%,64%,62%,50%,58%,72%,*,*,*,60%,20%,51%,33%
At Meets Grade Level or Above,2023,50%,48%,44%,20%,38%,62%,*,-,-,38%,17%,34%,25%
,2022,46%,46%,39%,17%,36%,48%,*,*,*,50%,10%,28%,17%
At Masters Grade Level,2023,13%,11%,6%,0%,4%,11%,*,-,-,25%,0%,4%,2%
,2022,10%,10%,6%,17%,3%,13%,*,*,*,30%,0%,2%,2%
End of Course English II,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2023,73%,73%,76%,*,75%,81%,*,*,*,50%,33%,69%,55%
,2022,71%,71%,68%,60%,64%,79%,*,*,*,71%,30%,58%,35%
At Meets Grade Level or Above,2023,53%,52%,51%,*,45%,64%,*,*,*,50%,12%,39%,32%
,2022,54%,54%,51%,20%,47%,61%,*,*,*,71%,21%,42%,23%
At Masters Grade Level,2023,8%,7%,5%,*,2%,12%,*,*,*,10%,0%,2%,0%
,2022,9%,7%,5%,0%,5%,5%,*,*,*,0%,2%,2%,0%
End of Course Algebra I,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2023,77%,75%,78%,80%,72%,90%,*,-,-,100%,52%,71%,63%
,2022,74%,73%,77%,80%,76%,79%,-,*,*,*,38%,71%,67%
At Meets Grade Level or Above,2023,42%,37%,44%,20%,35%,61%,*,-,-,83%,20%,31%,30%
,2022,42%,37%,46%,40%,44%,51%,-,*,*,*,17%,33%,33%
At Masters Grade Level,2023,22%,18%,22%,20%,15%,34%,*,-,-,50%,5%,12%,10%
,2022,26%,22%,26%,20%,21%,37%,-,*,*,*,4%,17%,16%
End of Course Biology,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2023,87%,87%,86%,*,81%,96%,*,-,-,88%,61%,83%,69%
,2022,82%,82%,81%,100%,77%,90%,-,*,*,67%,61%,73%,57%
At Meets Grade Level or Above,2023,54%,54%,46%,*,35%,71%,*,-,-,50%,27%,35%,22%
,2022,54%,53%,40%,60%,32%,57%,-,*,*,56%,12%,26%,14%
At Masters Grade Level,2023,20%,20%,11%,*,8%,18%,*,-,-,13%,2%,6%,2%
,2022,21%,21%,11%,0%,5%,24%,-,*,*,44%,6%,5%,5%
End of Course U.S. History,,,,,,,,,,,,,,
